CodigoArea;Nombre;Nodos
17AV;Solosancho y otros municipios;1466
17BA;Burguillos del Cerro y otros municipios;1467
17BI;Zaldibar y otros municipios;1468
17BU;Lerma y otros municipios;1469
17CA;Noja y otros municipios;1470
17CC;Guijo de Galisteo y otros municipios;1471
17CO;Dos Torres y otros municipios;1472
17CR;Abenójar y otros municipios;1473
17CS;Nules y Vilavella, la;1474
17CU;Landete y otros municipios;1475
17CZ;Puerto de Santa María, El (distrito 03);1476
17CÑ;Neda y San Sadurniño;1477
17GC;Aldea de San Nicolás, La;1478
17GI;Cruïlles, Monells i Sant Sadurní de l'Heura y otros municipios;1479
17GP;Azkoitia;1480
17GR;Lecrín y otros municipios;1481
17GU;Cabanillas del Campo y otros municipios;1482
17HS;Alcolea de Cinca y otros municipios;1483
17HU;Villalba del Alcor y Manzanilla;1484
17JA;Castellar y otros municipios;1485
17LE;Laguna de Negrillos y otros municipios;1486
17LL;Bell-lloc d'Urgell y otros municipios;1487
17LO;Arnedo;1488
17LU;Pastoriza, A y Abadín;1489
17MA;Cuevas de San Marcos y Cuevas Bajas;1490
17MU;Ceutí;1491
17NA;Erro y otros municipios;1492
17OU;Monterrei y otros municipios;1493
17PO;Cuntis;1494
17SA;Ledesma y otros municipios;1495
17SG;Cuéllar;1496
17TA;Falset y otros municipios;1497
17TE;Teruel;1498
17TF;Buenavista del Norte;1499
17TO;Guardia, La y otros municipios;1500
17VA;Villabrágima y otros municipios;1501
17VI;Vitoria-Gasteiz (distrito 06);1502
17ZA;Illueca y otros municipios;1503
17ZM;Fonfría y otros municipios;1504
180B;Barcelona (SCD Sants est);1505
180M;Madrid (SCD Arapiles);1506
181B;Barcelona (SCD les Corts est);1507
181M;Madrid (SCD Trafalgar);1508
182B;Barcelona (SCD les Corts oest);1509
182M;Madrid (SCD Almagro);1510
183B;Barcelona (SCD la Maternitat i Sant Ramon);1511
183M;Madrid (SCD Rios Rosas);1512
184B;Barcelona (SCD Pedralbes);1513
184M;Madrid (SCD Vallehermoso);1514
185B;Barcelona (SCD Sarrià-Vallvidrera);1515
185M;Madrid (SCD Peñagrande-2);1516
186B;Barcelona (SCD les Tres Torres);1517
186M;Madrid (SCD Peñagrande-1);1518
187B;Barcelona (SCD Sant Gervasi- la Bonanova);1519
187M;Madrid (SCD Pilar-1);1520
188B;Barcelona (SCD Sant Gervasi- Galvany oest);1521
188M;Madrid (SCD Pilar-2);1522
189B;Barcelona (SCD Sant Gervasi- Galvany est);1523
189M;Madrid (SCD La Paz);1524
18AB;Almansa;1525
18AL;Adra;1526
18AS;Cangas del Narcea;1527
18AV;Candeleda;1528
18BA;Fuente de Cantos y Calzadilla de los Barros;1529
18BI;Markina-Xemein y Etxebarria;1530
18BU;Huerta de Rey y otros municipios;1531
18CA;Meruelo y otros municipios;1532
18CC;Cilleros y otros municipios;1533
18CO;Belmez y otros municipios;1534
18CR;Argamasilla de Calatrava y otros municipios;1535
18CS;Alcalà de Xivert;1536
18CU;Arcas y otros municipios;1537
18CZ;Puerto de Santa María, El (distrito 01);1538
18CÑ;Cedeira y otros municipios;1539
18GC;Santa Brígida;1540
18GI;Mont-ras y otros municipios;1541
18GP;Azpeitia;1542
18GR;Molvízar y otros municipios;1543
18GU;Alovera;1544
18HS;Zaidín y otros municipios;1545
18HU;Hinojos y Chucena;1546
18JA;Beas de Segura y Segura de la Sierra;1547
18LE;Santa María del Páramo y otros municipios;1548
18LO;Calahorra;1549
18LU;Barreiros y otros municipios;1550
18MA;Sierra de Yeguas y otros municipios;1551
18MU;Cieza;1552
18NA;Aoiz/Agoitz y otros municipios;1553
18OU;Pobra de Trives, A y otros municipios;1554
18PA;Palencia (distrito 01);1555
18PO;Estrada, A;1556
18SA;Vitigudino y otros municipios;1557
18SG;Espinar, El;1558
18TA;Flix y otros municipios;1559
18TF;Candelaria;1560
18TO;Pulgar y otros municipios;1561
18VA;Geria y otros municipios;1562
18ZA;Ricla y otros municipios;1563
18ZM;Muelas del Pan y otros municipios;1564
190B;Barcelona (SCD el Putxet i el Farró);1565
190M;Madrid (SCD Valverde-2);1566
191B;Barcelona (SCD Vallcarca i els Penitents);1567
191M;Madrid (SCD El Goloso-El Pardo-Fuentelarreina);1568
192B;Barcelona (SCD el Coll);1569
192M;Madrid (SCD Valverde-1);1570
193B;Barcelona (SCD la Salut);1571
193M;Madrid (SCD Mirasierra);1572
194B;Barcelona (SCD la Vila de Gràcia oest);1573
194M;Madrid (SCD Casa de Campo);1574
195B;Barcelona (SCD la Vila de Gràcia est);1575
195M;Madrid (SCD Argüelles);1576
196B;Barcelona (SCD el Camp d'en Grassot i Gràcia Nova);1577
196M;Madrid (SCD Ciudad Universitaria);1578
197B;Barcelona (SCD el Baix Guinardó);1579
197M;Madrid (SCD Valdezarza);1580
198B;Barcelona (SCD Can Baró);1581
198M;Madrid (SCD Aravaca-Plantio-Valdemarin);1582
199B;Barcelona (SCD el Carmel);1583
199M;Madrid (SCD Cármenes);1584
19AB;Caudete;1585
19AL;Albox;1586
19AS;Cangas de Onís;1587
19AV;Piedrahíta y otros municipios;1588
19BA;Puebla de Sancho Pérez y otros municipios;1589
19BI;Gamiz-Fika y otros municipios;1590
19BU;Fuentespina y otros municipios;1591
19CA;Bárcena de Cicero y Escalante;1592
19CC;Valverde del Fresno y otros municipios;1593
19CO;Belalcázar y otros municipios;1594
19CR;Alcázar de San Juan;1595
19CS;Alcora, l';1596
19CU;Cuenca (distritos 01 y 02) y otros municipios;1597
19CZ;Puerto de Santa María, El (distrito 02);1598
19CÑ;Ortigueira y otros municipios;1599
19GC;Santa María de Guía de Gran Canaria;1600
19GI;Begur y otros municipios;1601
19GP;Beasain;1602
19GR;Vélez de Benaudalla y otros municipios;1603
19GU;Azuqueca de Henares;1604
19HS;Fraga y Torrente de Cinca;1605
19HU;Aljaraque;1606
19JA;Arroyo del Ojanco y otros municipios;1607
19LE;Carrizo y otros municipios;1608
19LO;Lardero;1609
19LU;Mondoñedo y otros municipios;1610
19MA;Antequera y Valle de Abdalajís;1611
19MU;Fortuna;1612
19NA;Artajona y otros municipios;1613
19OU;Vilardevós y otros municipios;1614
19PA;Palencia (distrito 02);1615
19PO;Gondomar;1616
19SA;Lumbrales y otros municipios;1617
19SG;Palazuelos de Eresma;1618
19TA;Alforja y otros municipios;1619
19TF;Granadilla de Abona;1620
19TO;Menasalbas y otros municipios;1621
19VA;Arroyo de la Encomienda;1622
19ZA;Jarque y otros municipios;1623
19ZM;Fermoselle y otros municipios;1624
200B;Barcelona (SCD els barris de la Vall d'Hebron);1625
200M;Madrid (SCD Puerta del Angel-1);1626
201B;Barcelona (SCD Horta);1627
201M;Madrid (SCD Puerta del Angel-2);1628
202B;Barcelona (SCD la Font d'en Fargues);1629
202M;Madrid (SCD Lucero);1630
203B;Barcelona (SCD el Guinardó);1631
203M;Madrid (SCD Aluche-2);1632
204B;Barcelona (SCD Vilapicina i la Torre Llobeta);1633
204M;Madrid (SCD Aluche-3);1634
205B;Barcelona (SCD Porta);1635
205M;Madrid (SCD Aluche-1);1636
206B;Barcelona (SCD el Turó de la Peira-Can Peguera);1637
206M;Madrid (SCD Campamento);1638
207B;Barcelona (SCD la Guineueta);1639
207M;Madrid (SCD Cuatro Vientos-Aguilas);1640
208B;Barcelona (SCD Canyelles);1641
208M;Madrid (SCD Aguilas-1);1642
209B;Barcelona (SCD les Roquetes);1643
20AB;Hellín;1644
20AL;Berja;1645
20AS;Carreño;1646
20AV;Barco de Ávila, El y otros municipios;1647
20BA;Fregenal de la Sierra y otros municipios;1648
20BI;Mundaka y otros municipios;1649
20BU;Roa y otros municipios;1650
20CA;Voto y otros municipios;1651
20CC;Almaraz y otros municipios;1652
20CO;Montoro y Cardeña;1653
20CR;Almadén;1654
20CS;Almazora/Almassora;1655
20CU;Iniesta y Herrumblar, El;1656
20CZ;Rota;1657
20CÑ;Pontes de García Rodríguez, As y Somozas, As;1658
20GC;Teguise;1659
20GI;Verges y otros municipios;1660
20GP;Deba;1661
20GR;Lanjarón y otros municipios;1662
20GU;Marchamalo;1663
20HS;Barbastro;1664
20HU;Almonte;1665
20JA;Siles y otros municipios;1666
20LE;Llamas de la Ribera y otros municipios;1667
20LL;Aitona y otros municipios;1668
20LO;Nájera;1669
20LU;Cervo y Xove;1670
20MA;Teba y Almargen;1671
20MU;Fuente Álamo de Murcia;1672
20NA;Sangüesa/Zangoza y otros municipios;1673
20OU;Viana do Bolo y otros municipios;1674
20PA;Palencia (distrito 03);1675
20PO;Grove, O;1676
20SA;Aldeadávila de la Ribera y otros municipios;1677
20SG;Real Sitio de San Ildefonso;1678
20TA;Vimbodí i Poblet y otros municipios;1679
20TF;Guancha, La;1680
20TO;Orgaz y otros municipios;1681
20VA;Cigales;1682
20ZA;Tarazona y otros municipios;1683
20ZM;Benavente;1684
210B;Barcelona (SCD Verdun);1685
210M;Madrid (SCD Aguilas-2);1686
211B;Barcelona (SCD la Prosperitat);1687
211M;Madrid (SCD Comillas);1688
212B;Barcelona (SCD la Trinitat Nova);1689
212M;Madrid (SCD Opañel);1690
213B;Barcelona (SCD Torre Baró, Ciutat Meridiana i Vallbona);1691
213M;Madrid (SCD San Isidro);1692
214B;Barcelona (SCD la Trinitat Vella-Baró de Viver);1693
214M;Madrid (SCD Vista Alegre-1);1694
215B;Barcelona (SCD el Bon Pastor);1695
215M;Madrid (SCD Puerta Bonita);1696
216B;Barcelona (SCD Sant Andreu est);1697
216M;Madrid (SCD Buenavista-1);1698
217B;Barcelona (SCD Sant Andreu oest);1699
217M;Madrid (SCD Buenavista-2);1700
218B;Barcelona (SCD la Sagrera);1701
218M;Madrid (SCD Abrantes);1702
219B;Barcelona (SCD el Congrés i els Indians);1703
219M;Madrid (SCD Vista Alegre-2);1704
21AB;Tobarra;1705
21AL;Carboneras;1706
21AS;Castrillón;1707
21AV;Arévalo;1708
21BA;Fuentes de León y otros municipios;1709
21BI;Forua y otros municipios;1710
21BU;Condado de Treviño y Puebla de Arganzón, La;1711
21CA;Ampuero y otros municipios;1712
21CC;Navalmoral de la Mata;1713
21CO;Villanueva de Córdoba y otros municipios;1714
21CR;Almagro;1715
21CS;Betxí;1716
21CU;Mota del Cuervo;1717
21CZ;Chipiona;1718
21CÑ;Ferrol (distritos 03 a 05);1719
21GC;Teror;1720
21GI;Flaçà y otros municipios;1721
21GP;Eibar;1722
21GR;Polopos y otros municipios;1723
21GU;Villanueva de la Torre;1724
21HS;Binéfar;1725
21HU;Beas;1726
21JA;Santiago-Pontones y otros municipios;1727
21LE;Benavides y otros municipios;1728
21LL;Castelldans y otros municipios;1729
21LO;Santo Domingo de la Calzada;1730
21LU;Xermade y otros municipios;1731
21MA;Burgo, El y otros municipios;1732
21MU;Jumilla;1733
21NA;Olite/Erriberri y otros municipios;1734
21OU;Rúa, A y otros municipios;1735
21PA;Palencia (distrito 04);1736
21PO;Guarda, A;1737
21SA;Villamayor y otros municipios;1738
21SG;Segovia (distrito 03);1739
21TA;Espluga de Francolí, L' y otros municipios;1740
21TF;Guía de Isora;1741
21TO;Villasequilla y otros municipios;1742
21VA;Cistérniga;1743
21ZA;María de Huerva y otros municipios;1744
21ZM;Zamora (distrito 01);1745
220B;Barcelona (SCD Navas);1746
220M;Madrid (SCD Orcasitas);1747
221B;Barcelona (SCD el Camp de l'Arp del Clot);1748
221M;Madrid (SCD Orcasur);1749
222B;Barcelona (SCD el Clot);1750
222M;Madrid (SCD San Fermín);1751
223B;Barcelona (SCD el Parc i la Llacuna del Poblenou);1752
223M;Madrid (SCD Almendrales);1753
224B;Barcelona (SCD la Vila Olímpica del Poblenou);1754
224M;Madrid (SCD Moscardó);1755
225B;Barcelona (SCD el Poblenou);1756
225M;Madrid (SCD Zofío);1757
226B;Barcelona (SCD Diagonal Mar i el Front Marítim del Poblenou);1758
226M;Madrid (SCD Pradolongo);1759
227B;Barcelona (SCD Provençals del Poblenou);1760
227M;Madrid (SCD Entrevías);1761
228B;Barcelona (SCD Sant Martí de Provençals);1762
228M;Madrid (SCD San Diego-1);1763
229B;Barcelona (SCD la Verneda i la Pau);1764
229M;Madrid (SCD Palomeras Bajas-1);1765
22AB;Villarrobledo;1766
22AL;Cuevas del Almanzora;1767
22AS;Cudillero;1768
22AV;Ávila (distrito 05);1769
22BA;Monesterio y Calera de León;1770
22BI;Berriatua y otros municipios;1771
22BU;Aranda de Duero;1772
22CA;Astillero, El;1773
22CC;Villanueva de la Vera y otros municipios;1774
22CO;Rute e Iznájar;1775
22CR;Almodóvar del Campo;1776
22CS;Benicarló;1777
22CU;Motilla del Palancar;1778
22CZ;Sanlúcar de Barrameda (distrito 02);1779
22CÑ;Abegondo;1780
22GC;Tías;1781
22GI;Cornellà del Terri y otros municipios;1782
22GP;Elgoibar;1783
22GR;Ugíjar y otros municipios;1784
22GU;Guadalajara (distrito 01);1785
22HS;Jaca;1786
22HU;Bollullos Par del Condado;1787
22JA;Pozo Alcón y otros municipios;1788
22LE;San Justo de la Vega y otros municipios;1789
22LL;Juneda y otros municipios;1790
22LO;Villamediana de Iregua;1791
22LU;Outeiro de Rei y otros municipios;1792
22MA;Yunquera y otros municipios;1793
22MU;Librilla;1794
22NA;Carcastillo y otros municipios;1795
22OU;Carballeda de Valdeorras y otros municipios;1796
22PA;Palencia (distrito 05);1797
22PO;Lalín;1798
22SA;Alba de Tormes;1799
22SG;Segovia (distrito 04);1800
22TA;Santa Coloma de Queralt y otros municipios;1801
22TF;Icod de los Vinos;1802
22TO;Ontígola;1803
22VA;Íscar;1804
22ZA;Fuentes de Ebro;1805
22ZM;Zamora (distrito 05);1806
230B;Barcelona (SCD el Besòs i el Maresme);1807
230M;Madrid (SCD Palomeras Bajas-2);1808
231B;Castelldefels (distrito 01);1809
231M;Madrid (SCD Palomeras Sureste-2);1810
232B;Castelldefels (distrito 02);1811
232M;Madrid (SCD Palomeras Sureste-1);1812
233B;Castelldefels (distrito 03);1813
233M;Madrid (SCD Portazgo);1814
234B;Castelldefels (distrito 04);1815
234M;Madrid (SCD Numancia-2);1816
235B;Castelldefels (distrito 05);1817
235M;Madrid (SCD Numancia-1);1818
236B;Cornellà de Llobregat (distrito 01);1819
236M;Madrid (SCD San Diego-2);1820
237B;Cornellà de Llobregat (distrito 02);1821
237M;Madrid (SCD Pavones);1822
238B;Cornellà de Llobregat (distrito 03);1823
238M;Madrid (SCD Marroquina);1824
239B;Cornellà de Llobregat (distrito 04);1825
239M;Madrid (SCD Media Legua);1826
23AB;Albacete (distrito 01);1827
23AL;Garrucha;1828
23AS;Gozón;1829
23BA;Montemolín y otros municipios;1830
23BI;Abanto y Ciérvana-Abanto Zierbena;1831
23BU;Briviesca;1832
23CA;Cabezón de la Sal;1833
23CC;Jarandilla de la Vera y otros municipios;1834
23CO;Priego de Córdoba y otros municipios;1835
23CR;Argamasilla de Alba;1836
23CS;Benicasim/Benicàssim;1837
23CU;Pedroñeras, Las;1838
23CZ;Sanlúcar de Barrameda (distritos 03 y 04);1839
23CÑ;Ames;1840
23GC;Tinajo;1841
23GI;Porqueres y otros municipios;1842
23GP;Hondarribia;1843
23GR;Nevada y otros municipios;1844
23GU;Guadalajara (distrito 02);1845
23HS;Monzón;1846
23HU;Cartaya;1847
23JA;Huelma y Cabra del Santo Cristo;1848
23LE;Villarejo de Órbigo y otros municipios;1849
23LL;Arbeca y otros municipios;1850
23LO;Logroño (distrito 02);1851
23LU;Castro de Rei;1852
23MA;Ronda y otros municipios;1853
23MU;Lorquí;1854
23NA;Ayegui/Aiegi y otros municipios;1855
23OU;Barco de Valdeorras, O;1856
23PA;Palencia (distrito 06);1857
23PO;Marín;1858
23SA;Carbajosa de la Sagrada;1859
23SG;Segovia (distrito 05);1860
23TA;Pla de Santa Maria, El y otros municipios;1861
23TF;Llanos de Aridane, Los;1862
23TO;Noblejas y Villarrubia de Santiago;1863
23VA;Laguna de Duero;1864
23ZA;Épila y otros municipios;1865
240B;Cornellà de Llobregat (distrito 05);1866
240M;Madrid (SCD Fontarrón);1867
241B;Cornellà de Llobregat (distrito 06);1868
241M;Madrid (SCD Vinateros);1869
242B;Granollers (distrito 01);1870
242M;Madrid (SCD Horcajo);1871
243B;Granollers (distrito 02);1872
243M;Madrid (SCD Ventas-1);1873
244B;Granollers (distrito 03);1874
244M;Madrid (SCD Ventas-2);1875
245B;Granollers (distrito 04);1876
245M;Madrid (SCD Pueblo Nuevo-1);1877
246M;Madrid (SCD Pueblo Nuevo-2);1878
247M;Madrid (SCD Quintana);1879
248M;Madrid (SCD Concepción);1880
249M;Madrid (SCD San Pascual);1881
24AB;Albacete (distrito 02);1882
24AL;Huércal de Almería;1883
24AS;Langreo;1884
24BA;Azuaga y otros municipios;1885
24BI;Amorebieta-Etxano;1886
24BU;Miranda de Ebro;1887
24CA;Camargo;1888
24CC;Losar de la Vera y otros municipios;1889
24CO;Aguilar de la Frontera;1890
24CR;Bolaños de Calatrava;1891
24CS;Borriana/Burriana;1892
24CU;Quintanar del Rey;1893
24CZ;Sanlúcar de Barrameda (distrito 05);1894
24CÑ;Ares;1895
24GC;Tuineje;1896
24GI;Sant Joan les Fonts y otros municipios;1897
24GP;Hernani;1898
24GR;Valle del Zalabí y otros municipios;1899
24GU;Guadalajara (distrito 03);1900
24HS;Sabiñánigo;1901
24HU;Gibraleón y San Bartolomé de la Torre;1902
24JA;Quesada y Larva;1903
24LE;Santa Elena de Jamuz y otros municipios;1904
24LL;Golmés y otros municipios;1905
24LO;Logroño (distrito 03);1906
24LU;Cospeito;1907
24MA;Alameda;1908
24MU;Mazarrón;1909
24NA;Arcos, Los y otros municipios;1910
24OU;Carballiño, O;1911
24PA;Palencia (distrito 07);1912
24PO;Meaño;1913
24SA;Ciudad Rodrigo;1914
24SG;Segovia (distrito 06);1915
24TA;Santa Oliva y otros municipios;1916
24TF;Matanza de Acentejo, La;1917
24TO;Santa Cruz de la Zarza y Villatobas;1918
24VA;Medina del Campo;1919
24ZA;Fuendejalón y otros municipios;1920
250M;Madrid (SCD San Juan Bautista-Colina-Atalaya);1921
251M;Madrid (SCD Costillares);1922
252M;Madrid (SCD Piovera);1923
253B;Manresa (distrito 02);1924
253M;Madrid (SCD Canillas-1);1925
254B;Manresa (distritos 01 y 03);1926
254M;Madrid (SCD Canillas-2);1927
255B;Manresa (distrito 04);1928
255M;Madrid (SCD Pinar del Rey-1);1929
256B;Manresa (distrito 05);1930
256M;Madrid (SCD Pinar del Rey-2);1931
257M;Madrid (SCD Apostol Santiago);1932
258B;Mataró (distrito 01);1933
258M;Madrid (SCD Valdefuentes-1);1934
259B;Mataró (distrito 02);1935
259M;Madrid (SCD Valdefuentes-2);1936
25AB;Albacete (distrito 03);1937
25AL;Huércal-Overa;1938
25AS;Laviana;1939
25BA;Berlanga y otros municipios;1940
25BI;Arrigorriaga;1941
25BU;Burgos (distrito 03);1942
25CA;Cartes;1943
25CC;Hervás y otros municipios;1944
25CO;Cabra;1945
25CR;Daimiel;1946
25CS;Onda;1947
25CU;San Clemente;1948
25CZ;Sanlúcar de Barrameda (distrito 01);1949
25CÑ;Arteixo;1950
25GC;Valsequillo de Gran Canaria;1951
25GI;Besalú y otros municipios;1952
25GP;Lazkao;1953
25GR;Jerez del Marquesado y otros municipios;1954
25GU;Guadalajara (distrito 05);1955
25HS;Huesca (distrito 01);1956
25HU;Huelva (distrito 01);1957
25JA;Bedmar y Garcíez y otros municipios;1958
25LE;Puente de Domingo Flórez y otros municipios;1959
25LL;Palau d'Anglesola, El y otros municipios;1960
25LO;Logroño (distrito 04);1961
25LU;Chantada;1962
25MA;Algarrobo;1963
25MU;Molina de Segura (sección 007 y otras secciones del distrito 01);1964
25NA;Viana y Aras;1965
25OU;Celanova;1966
25PO;Meis;1967
25SA;Guijuelo;1968
25SG;Segovia (distrito 07);1969
25TA;Bisbal del Penedès, La y Albinyana;1970
25TF;Orotava, La;1971
25TO;Miguel Esteban y Toboso, El;1972
25VA;Peñafiel;1973
25ZA;Zaragoza (SCD Number 12) y otros municipios;1974
260B;Mataró (distrito 03);1975
260M;Madrid (SCD Palomas);1976
261B;Mataró (distrito 04);1977
261M;Madrid (SCD San Andrés-2);1978
262B;Mataró (distrito 05);1979
262M;Madrid (SCD San Andrés-1);1980
263B;Mataró (distrito 06);1981
263M;Madrid (SCD San Cristobal);1982
264B;Mollet del Vallès (distrito 01);1983
264M;Madrid (SCD Butarque);1984
265B;Mollet del Vallès (distrito 02);1985
265M;Madrid (SCD Los Rosales);1986
266B;Mollet del Vallès (distrito 03);1987
266M;Madrid (SCD Los Angeles);1988
267B;Prat de Llobregat, El (distrito 01);1989
267M;Madrid (SCD Casco Histórico de Vallecas-1);1990
268B;Prat de Llobregat, El (distrito 02);1991
268M;Madrid (SCD Casco Histórico de Vallecas-2);1992
269B;Prat de Llobregat, El (distrito 03);1993
269M;Madrid (SCD Casco Histórico de Vallecas-3);1994
26AB;Albacete (distrito 04);1995
26AL;Mojácar;1996
26AS;Lena;1997
26BA;Ribera del Fresno y otros municipios;1998
26BI;Basauri;1999
26BU;Burgos (distrito 05);2000
26CA;Colindres;2001
26CC;Piornal y otros municipios;2002
26CO;Carlota, La;2003
26CR;Herencia;2004
26CS;Oropesa del Mar/Orpesa;2005
26CU;Tarancón;2006
26CZ;Trebujena;2007
26CÑ;Bergondo;2008
26GC;Vega de San Mateo;2009
26GI;Sant Pere Pescador y otros municipios;2010
26GP;Legazpi;2011
26GR;Darro y otros municipios;2012
26HS;Huesca (distrito 02);2013
26HU;Huelva (distrito 02);2014
26JA;Pegalajar y otros municipios;2015
26LE;Torre del Bierzo y otros municipios;2016
26LL;Ivars d'Urgell y otros municipios;2017
26LO;Logroño (distrito 05);2018
26LU;Foz;2019
26MA;Alhaurín de la Torre;2020
26MU;Moratalla;2021
26NA;Arróniz y otros municipios;2022
26OU;Xinzo de Limia;2023
26PO;Moaña;2024
26SA;Peñaranda de Bracamonte;2025
26TA;Sant Jaume dels Domenys y Llorenç del Penedès;2026
26TF;Paso, El;2027
26TO;Lillo y otros municipios;2028
26VA;Simancas;2029
26ZA;Alagón y Torres de Berrellén;2030
270B;Prat de Llobregat, El (distrito 04);2031
270M;Madrid (SCD Santa Eugenia);2032
271B;Prat de Llobregat, El (distrito 05);2033
271M;Madrid (SCD Casco Histórico de Vicálvaro-1);2034
272B;Rubí (distrito 01);2035
272M;Madrid (SCD Casco Histórico de Vicálvaro-2);2036
273B;Rubí (distrito 02);2037
273M;Madrid (SCD Ambroz);2038
274B;Rubí (distrito 03);2039
274M;Madrid (SCD Simancas);2040
275B;Rubí (distrito 04);2041
275M;Madrid (SCD Hellín);2042
276B;Sabadell (distrito 01);2043
276M;Madrid (SCD Arcos);2044
277B;Sabadell (distrito 02);2045
277M;Madrid (SCD Rosas);2046
278B;Sabadell (distrito 03 y sección 030 del distrito 04);2047
278M;Madrid (SCD Rejas);2048
279B;Sabadell (secciones 001 a 029 del distrito 04);2049
279M;Madrid (SCD Canillejas);2050
27AB;Albacete (distrito 05);2051
27AL;Níjar;2052
27AS;Valdés;2053
27BA;Hornachos y otros municipios;2054
27BI;Berango;2055
27BU;Burgos (distrito 06);2056
27CA;Corrales de Buelna, Los;2057
27CC;Malpartida de Plasencia y otros municipios;2058
27CO;Castro del Río;2059
27CR;Malagón;2060
27CS;Peníscola/Peñíscola;2061
27CU;Cuenca (distrito 03) y otros municipios;2062
27CZ;Jerez de la Frontera (distrito 09);2063
27CÑ;Betanzos;2064
27GC;Yaiza;2065
27GI;Bàscara y otros municipios;2066
27GP;Lezo;2067
27GR;Benalúa y Purullena;2068
27HS;Huesca (distrito 03);2069
27HU;Huelva (distrito 03);2070
27JA;Cambil y otros municipios;2071
27LE;Toreno y otros municipios;2072
27LL;Linyola y otros municipios;2073
27LU;Guitiriz;2074
27MA;Alhaurín el Grande;2075
27MU;Mula y Pliego;2076
27NA;Mendavia y Sesma;2077
27OU;Ribadavia;2078
27PO;Mos;2079
27SA;Santa Marta de Tormes;2080
27TA;Montmell, El y otros municipios;2081
27TF;Puerto de la Cruz;2082
27TO;Corral de Almaguer y otros municipios;2083
27VA;Tordesillas;2084
27ZA;Pedrola y otros municipios;2085
280B;Sabadell (distrito 05);2086
280M;Madrid (SCD Salvador);2087
281B;Sabadell (distrito 06) y Badia del Vallès (secciones 005 y 007 del distrito 01);2088
281M;Madrid (SCD Amposta);2089
282B;Sabadell (distrito 07);2090
282M;Madrid (SCD Alameda de Osuna-Corralejos);2091
283B;Sant Boi de Llobregat (distrito 01);2092
283M;Madrid (SCD Timón-Casco Historico-Aeropuerto);2093
284B;Sant Boi de Llobregat (distrito 02);2094
284M;Parla (sección 028 y otras secciones del distrito 01);2095
285B;Sant Boi de Llobregat (distrito 03);2096
285M;Parla (sección 060 y otras secciones del distrito 01);2097
286B;Sant Boi de Llobregat (distrito 04);2098
286M;Rivas-Vaciamadrid (sección 023 y otras secciones del distrito 01);2099
287B;Sant Boi de Llobregat (distrito 05);2100
287M;Rivas-Vaciamadrid (sección 038 y otras secciones del distrito 01);2101
288B;Sant Boi de Llobregat (distrito 06);2102
288M;Rozas de Madrid, Las (sección 017 y otras secciones del distrito 01);2103
289B;Sant Cugat del Vallès (distrito 01);2104
289M;Rozas de Madrid, Las (sección 032 y otras secciones del distrito 01);2105
28AB;Albacete (distrito 06);2106
28AL;Olula del Río;2107
28AS;Llanera;2108
28BA;Oliva de Mérida y otros municipios;2109
28BI;Bermeo;2110
28BU;Burgos (distrito 07);2111
28CA;Entrambasaguas;2112
28CC;Cabezuela del Valle y otros municipios;2113
28CO;Córdoba (SCD Casco Histórico);2114
28CR;Membrilla;2115
28CS;Segorbe;2116
28CU;Cuenca (distrito 04);2117
28CZ;Jerez de la Frontera (distrito 04);2118
28CÑ;Boiro;2119
28GC;Arrecife (distrito 01);2120
28GI;Peralada y otros municipios;2121
28GP;Arrasate/Mondragón;2122
28GR;Guadahortuna y otros municipios;2123
28HS;Huesca (distrito 04);2124
28HU;Huelva (distrito 04);2125
28JA;Valdepeñas de Jaén y otros municipios;2126
28LE;Igüeña y otros municipios;2127
28LL;Vallfogona de Balaguer y otros municipios;2128
28LU;Monforte de Lemos;2129
28MA;Álora;2130
28NA;Lodosa y Sartaguda;2131
28OU;Verín;2132
28PO;Nigrán;2133
28SA;Villares de la Reina;2134
28TA;Creixell y Pobla de Montornès, La;2135
28TF;Realejos, Los;2136
28TO;Puebla de Almoradiel, La y Villa de Don Fadrique, La;2137
28VA;Tudela de Duero;2138
28ZA;Gallur y otros municipios;2139
290B;Sant Cugat del Vallès (distrito 02);2140
290M;Alcobendas (sección 059 y otras secciones del distrito 01);2141
291B;Sant Cugat del Vallès (distrito 03);2142
291M;Alcobendas (sección 027 y otras secciones del distrito 01);2143
292B;Sant Cugat del Vallès (distritos 04 y 06);2144
292M;San Sebastián de los Reyes (sección 050 y otras secciones del distrito 01);2145
293B;Sant Cugat del Vallès (distrito 05);2146
293M;San Sebastián de los Reyes (sección 047 y otras secciones del distrito 01);2147
294M;Móstoles (sección 035 y otras secciones del distrito 04);2148
295B;Santa Coloma de Gramenet (distrito 01);2149
295M;Móstoles (sección 042 y otras secciones del distrito 04);2150
296B;Santa Coloma de Gramenet (distrito 02);2151
297B;Santa Coloma de Gramenet (distrito 03);2152
298B;Santa Coloma de Gramenet (distrito 04);2153
299B;Santa Coloma de Gramenet (distrito 05);2154
29AB;Albacete (distrito 07);2155
29AL;Pulpí;2156
29AS;Llanes;2157
29BA;Santa Amalia y otros municipios;2158
29BI;Durango;2159
29BU;Burgos (distrito 08);2160
29CA;Laredo;2161
29CC;Ahigal y otros municipios;2162
29CO;Córdoba (SCD Tejares - Molinos Altas - San Cayetano);2163
29CR;Miguelturra;2164
